Name                           	State	Kp   	Ki   	Kd   	RiseTime    	SettlingTime	SettlingMin 	SettlingMax 	Overshoot   	Undershoot  	Peak        	PeakTime
mission-2015-05-06_09-56-33.txt	x    	0.500	0.100	0.350	0.6641184370	3.5387683685	0.7841301646	0.9975868646	23.0357133016	-0.0000000000	0.9975868646	1.7333333333
mission-2015-05-06_10-12-36.txt	x    	0.500	0.100	0.350	1.4022893804	13.2016313483	2.8251024998	4.1129368108	37.0978936939	1.2214567990	4.1129368108	3.2000000000
mission-2015-05-06_10-17-06.txt	x    	0.500	0.100	0.350	1.8384007353	12.4317793759	4.5802829120	7.1982947389	43.9658947775	0.4942100599	7.1982947389	4.2666666667
mission-2015-05-06_10-20-39.txt	y    	0.500	0.100	0.350	0.8381520194	NaN	0.8970952919	1.2351566802	23.5156680184	4.6788077204	1.2351566802	2.2000000000
mission-2015-05-06_10-22-45.txt	y    	0.500	0.100	0.350	1.7149566379	13.6288453159	2.7982974728	3.9368488396	31.2282946532	3.7328627761	3.9368488396	3.6666666667
mission-2015-05-06_10-25-48.txt	y    	0.500	0.100	0.350	2.0854577632	14.4176786638	4.5096328099	6.8490093347	36.9801866944	1.5125564679	6.8490093347	4.6000000000
mission-2015-05-06_10-32-21.txt	z    	0.800	0.100	0.350	2.5699233716	7.0147619048	1.4060000000	1.4790000000	0.0000000000	-0.0000000000	1.4790000000	4.6000000000
mission-2015-05-06_10-34-41.txt	z    	0.800	0.100	0.350	2.5630952381	11.7733333333	1.4040000000	1.5530000000	3.5333333333	-0.0000000000	1.5530000000	11.6666666667
